second,philosopher,eatCount,eatNanosDelta,blockedMillisDelta
56,Leonardo,97,0,1002
57,Raphael,100,0,1002
57,Donatello,99,0,1002
57,Splinter,102,0,1002
57,Michelangelo,99,0,1002
57,Leonardo,97,0,1002
58,Raphael,100,0,1002
58,Donatello,99,0,1001
58,Splinter,102,0,1001
58,Michelangelo,99,0,1001
58,Leonardo,97,0,1001
59,Raphael,100,0,1000
59,Donatello,99,0,1001
59,Splinter,102,0,1001
59,Michelangelo,99,0,1001
59,Leonardo,97,0,1001
60,Raphael,100,0,1002
60,Donatello,99,0,1002
60,Splinter,102,0,1002
60,Michelangelo,99,0,1002
60,Leonardo,97,0,1002
61,Raphael,100,0,1002
61,Donatello,99,0,1001
61,Splinter,102,0,1001
61,Michelangelo,99,0,1001
61,Leonardo,97,0,1001
62,Raphael,100,0,1001
62,Donatello,99,0,1001
62,Splinter,102,0,1001
62,Michelangelo,99,0,1001
62,Leonardo,97,0,1001
63,Raphael,100,0,1000
63,Donatello,99,0,1001
63,Splinter,102,0,1001
63,Michelangelo,99,0,1001
63,Leonardo,97,0,1001
64,Raphael,100,0,1001
64,Donatello,99,0,1001
64,Splinter,102,0,1001
64,Michelangelo,99,0,1001
64,Leonardo,97,0,1001
65,Raphael,100,0,1001
65,Donatello,99,0,1001
65,Splinter,102,0,1001
65,Michelangelo,99,0,1001
65,Leonardo,97,0,1001
66,Raphael,100,0,1002
66,Donatello,99,0,1002
66,Splinter,102,0,1002
66,Michelangelo,99,0,1002
66,Leonardo,97,0,1002
67,Raphael,100,0,1002
67,Donatello,99,0,1002
67,Splinter,102,0,1002
67,Michelangelo,99,0,1002
67,Leonardo,97,0,1002
68,Raphael,100,0,1001
68,Donatello,99,0,1001
68,Splinter,102,0,1001
68,Michelangelo,99,0,1001
68,Leonardo,97,0,1001
69,Raphael,100,0,1002
69,Donatello,99,0,1002
69,Splinter,102,0,1002
69,Michelangelo,99,0,1002
69,Leonardo,97,0,1002
70,Raphael,100,0,1001
70,Donatello,99,0,1001
70,Splinter,102,0,1001
70,Michelangelo,99,0,1001
70,Leonardo,97,0,1001
71,Raphael,100,0,1001
71,Donatello,99,0,1001
71,Splinter,102,0,1001
71,Michelangelo,99,0,1001
71,Leonardo,97,0,1001
72,Raphael,100,0,1001
72,Donatello,99,0,1001
72,Splinter,102,0,1001
72,Michelangelo,99,0,1001
72,Leonardo,97,0,1001
73,Raphael,100,0,1001
73,Donatello,99,0,1001
73,Splinter,102,0,1001
73,Michelangelo,99,0,1001
73,Leonardo,97,0,1001
74,Raphael,100,0,1002
74,Donatello,99,0,1002
74,Splinter,102,0,1002
74,Michelangelo,99,0,1002
74,Leonardo,97,0,1002
75,Raphael,100,0,1001
75,Donatello,99,0,1001
75,Splinter,102,0,1001
75,Michelangelo,99,0,1001
75,Leonardo,97,0,1001
76,Raphael,100,0,1001
76,Donatello,99,0,1001
76,Splinter,102,0,1001
76,Michelangelo,99,0,1001
76,Leonardo,97,0,1001
77,Raphael,100,0,1002
77,Donatello,99,0,1002
77,Splinter,102,0,1002
77,Michelangelo,99,0,1002
77,Leonardo,97,0,1002
78,Raphael,100,0,1001
78,Donatello,99,0,1001
78,Splinter,102,0,1001
78,Michelangelo,99,0,1001
78,Leonardo,97,0,1001
79,Raphael,100,0,1002
79,Donatello,99,0,1002
79,Splinter,102,0,1002
79,Michelangelo,99,0,1002
79,Leonardo,97,0,1002
80,Raphael,100,0,1002
80,Donatello,99,0,1001
80,Splinter,102,0,1001
80,Michelangelo,99,0,1001
80,Leonardo,97,0,1001
81,Raphael,100,0,1000
81,Donatello,99,0,1001
81,Splinter,102,0,1001
81,Michelangelo,99,0,1001
81,Leonardo,97,0,1001
82,Raphael,100,0,1001
82,Donatello,99,0,1001
82,Splinter,102,0,1001
82,Michelangelo,99,0,1001
82,Leonardo,97,0,1001
83,Raphael,100,0,1001
83,Donatello,99,0,1001
83,Splinter,102,0,1001
83,Michelangelo,99,0,1001
83,Leonardo,97,0,1001
84,Raphael,100,0,1003
84,Donatello,99,0,1002
84,Splinter,102,0,1002
84,Michelangelo,99,0,1002
84,Leonardo,97,0,1002
85,Raphael,100,0,1000
85,Donatello,99,0,1001
85,Splinter,102,0,1001
85,Michelangelo,99,0,1001
85,Leonardo,97,0,1001
86,Raphael,100,0,1002
86,Donatello,99,0,1001
86,Splinter,102,0,1001
86,Michelangelo,99,0,1001
86,Leonardo,97,0,1001
87,Raphael,100,0,1001
87,Donatello,99,0,1002
87,Splinter,102,0,1002
87,Michelangelo,99,0,1002
87,Leonardo,97,0,1002
88,Raphael,100,0,1001
88,Donatello,99,0,1001
88,Splinter,102,0,1001
88,Michelangelo,99,0,1001
